season,team,player,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
2425,Brighton,Yasin Ayari,SWE,MF,21-040,2003,5.5,217,199,18,6,4,1,21,0,11,7,3,0,165,0,6
2425,Chelsea,Axel Disasi,FRA,DF,26-249,1998,1.0,74,60,14,6,0,0,0,8,0,0,0,0,64,0,1
2425,Chelsea,Benoît Badiashile,FRA,DF,23-234,2001,0.4,43,41,2,2,0,0,0,0,0,0,0,0,42,0,0
2425,Chelsea,Christopher Nkunku,FRA,FW,27-001,1997,1.8,71,69,2,0,0,1,1,0,2,0,0,0,66,0,0
2425,Chelsea,Cole Palmer,ENG,"MF,FW",22-193,2002,10.6,433,366,66,14,7,6,49,6,30,21,4,0,318,1,12
2425,Chelsea,Enzo Fernández,ARG,MF,23-303,2001,6.8,385,357,27,11,3,6,16,1,14,11,0,0,308,1,9
2425,Chelsea,Jadon Sancho,ENG,FW,24-235,2000,3.4,132,128,4,1,5,0,2,3,0,0,0,0,107,0,4
2425,Chelsea,João Félix,POR,"MF,FW",25-005,1999,1.4,72,69,2,0,0,0,0,2,0,0,0,0,59,1,1
2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-070,1998,0.5,37,37,0,0,0,0,0,0,0,0,0,0,29,0,0
2425,Chelsea,Levi Colwill,ENG,DF,21-263,2003,11.0,772,712,58,28,3,5,0,1,0,0,0,0,688,2,9
2425,Chelsea,Malo Gusto,FRA,DF,21-180,2003,8.1,446,390,55,18,1,2,21,37,0,0,0,0,375,1,14
2425,Chelsea,Marc Cucurella,ESP,DF,26-116,1998,8.2,441,383,58,9,1,0,9,49,0,0,0,0,392,0,1
2425,Chelsea,Marc Guiu,ESP,FW,18-316,2006,0.3,4,3,1,0,0,0,0,0,0,0,0,0,3,0,0
2425,Chelsea,Moisés Caicedo,ECU,MF,23-013,2001,10.8,591,578,12,11,5,4,5,1,0,0,0,0,519,1,10
2425,Chelsea,Mykhailo Mudryk,UKR,FW,23-315,2001,1.7,42,40,2,0,1,0,7,0,2,0,0,0,28,0,1
2425,Chelsea,Nicolas Jackson,SEN,FW,23-148,2001,9.6,157,146,9,1,0,0,1,2,0,0,0,0,116,2,3
2425,Chelsea,Noni Madueke,ENG,FW,22-250,2002,8.4,229,220,5,0,0,1,16,5,0,0,0,0,180,4,8
2425,Chelsea,Pedro Neto,POR,FW,24-251,2000,6.2,225,210,14,2,0,0,31,4,8,3,0,0,182,1,7
2425,Chelsea,Reece James,ENG,DF,24-343,1999,2.7,221,185,36,13,3,1,15,15,8,7,0,0,183,0,1
2425,Chelsea,Renato Veiga,POR,"DF,MF",21-109,2003,1.9,130,118,12,5,0,0,0,7,0,0,0,0,111,0,1
2425,Chelsea,Robert Sánchez,ESP,GK,26-363,1997,11.0,458,395,62,26,0,1,0,0,0,0,0,0,351,1,1
2425,Chelsea,Roméo Lavia,BEL,MF,20-314,2004,3.7,179,177,2,2,1,2,0,0,0,0,0,0,166,0,1
2425,Chelsea,Tosin Adarabioyo,ENG,DF,27-052,1997,1.9,151,140,10,6,0,0,0,0,0,0,0,0,138,1,1
2425,Chelsea,Wesley Fofana,FRA,DF,23-334,2000,9.6,577,555,21,15,0,0,1,5,0,0,0,0,514,1,4
2425,Crystal Palace,Adam Wharton,ENG,MF,20-166,2004,6.9,362,340,21,8,2,1,16,0,13,8,1,0,285,1,6
2425,Crystal Palace,Asher Agbinone,ENG,MF,19-048,2005,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
2425,Crystal Palace,Caleb Kporha,ENG,DF,18-123,2006,0.0,5,4,1,0,0,0,2,1,0,0,0,0,3,0,0
2425,Crystal Palace,Chadi Riad,MAR,DF,21-151,2003,1.0,82,82,0,0,0,1,0,0,0,0,0,0,70,0,2
2425,Crystal Palace,Cheick Doucouré,MLI,MF,24-312,2000,1.5,66,66,0,0,0,0,0,0,0,0,0,0,61,0,2
2425,Crystal Palace,Chris Richards,USA,DF,24-232,2000,3.8,152,148,3,2,0,1,0,1,0,0,0,0,127,1,2
2425,Crystal Palace,Daichi Kamada,JPN,MF,28-102,1996,6.9,308,295,13,4,2,2,13,2,7,4,0,0,244,0,8
