season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2425,Crystal Palace,Chris Richards,USA,DF,24-232,2000,3.8,1,0,0,3,1,1,0,3,5,0,0,0,10,3,8,27.3
2425,Crystal Palace,Daichi Kamada,JPN,MF,28-102,1996,6.9,2,1,0,15,11,2,13,7,9,0,0,0,27,1,4,20.0
2425,Crystal Palace,Daniel Muñoz,COL,"DF,MF",28-173,1996,10.0,4,0,0,19,4,5,21,12,27,0,0,0,51,25,19,56.8
2425,Crystal Palace,Dean Henderson,ENG,GK,27-248,1997,11.0,1,0,0,0,0,0,0,0,0,0,0,0,9,2,0,100.0
2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26-139,1998,9.0,0,0,0,4,17,1,30,3,8,0,0,0,46,1,20,4.8
2425,Crystal Palace,Eddie Nketiah,ENG,"MF,FW",25-169,1999,5.4,1,0,0,8,14,1,5,1,3,0,0,0,11,6,12,33.3
2425,Crystal Palace,Ismaila Sarr,SEN,"MF,FW",26-264,1998,5.4,1,0,0,4,9,2,18,3,1,1,0,0,22,8,15,34.8
2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27-140,1997,8.4,1,0,0,9,6,4,8,0,1,0,0,0,17,18,29,38.3
2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",30-021,1994,4.6,3,0,0,7,7,0,1,7,2,0,0,0,38,9,14,39.1
2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",31-328,1992,0.8,0,0,0,0,0,0,3,0,0,0,0,0,5,2,3,40.0
2425,Crystal Palace,Joachim Andersen,DEN,DF,28-168,1996,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0
2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",33-065,1991,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0
2425,Crystal Palace,Justin Devenny,NIR,MF,21-035,2003,0.8,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0.0
2425,Crystal Palace,Marc Guéhi,ENG,DF,24-125,2000,11.0,1,0,0,5,10,0,1,8,7,0,0,0,43,31,18,63.3
2425,Crystal Palace,Maxence Lacroix,FRA,DF,24-223,2000,8.0,3,0,0,9,3,1,3,14,8,0,0,0,39,17,14,54.8
2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33-224,1991,3.3,0,0,0,0,2,0,1,3,6,0,0,0,4,1,6,14.3
2425,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",26-304,1998,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0
2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25-133,1999,5.0,0,0,0,4,8,1,4,12,7,0,0,0,24,11,3,78.6
2425,Crystal Palace,Tyrick Mitchell,ENG,"DF,MF",25-075,1999,10.4,0,0,0,4,9,0,43,5,22,0,0,0,54,8,6,57.1
2425,Crystal Palace,Will Hughes,ENG,MF,29-212,1995,5.1,5,0,0,14,6,0,19,5,9,0,0,0,26,3,4,42.9
2425,Everton,Abdoulaye Doucouré,MLI,MF,31-319,1993,7.2,0,0,0,12,2,5,6,3,6,0,0,0,41,12,6,66.7
