season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",31-328,1992,0.8,5,6.52,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Joachim Andersen,DEN,DF,28-168,1996,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",33-065,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Justin Devenny,NIR,MF,21-035,2003,0.8,4,4.93,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Marc Guéhi,ENG,DF,24-125,2000,11.0,11,1.0,9,0,0,1,1,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Maxence Lacroix,FRA,DF,24-223,2000,8.0,11,1.37,11,0,0,0,0,0,1,0.12,1,0,0,0,0,0
2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33-224,1991,3.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",26-304,1998,1.3,1,0.78,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25-133,1999,5.0,4,0.81,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Tyrick Mitchell,ENG,"DF,MF",25-075,1999,10.4,29,2.78,26,1,0,1,1,0,1,0.1,1,0,0,0,0,0
2425,Crystal Palace,Will Hughes,ENG,MF,29-212,1995,5.1,18,3.54,14,3,0,1,0,0,0,0.0,0,0,0,0,0,0
2425,Everton,Abdoulaye Doucouré,MLI,MF,31-319,1993,7.2,18,2.49,16,0,0,1,0,1,1,0.14,0,0,0,0,0,1
2425,Everton,Ashley Young,ENG,DF,39-129,1985,8.7,23,2.64,18,3,0,0,1,1,5,0.57,4,0,0,0,0,1
2425,Everton,Beto,GNB,FW,26-289,1998,1.1,2,1.76,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0
2425,Everton,Dominic Calvert-Lewin,ENG,FW,27-244,1997,10.0,14,1.4,8,0,2,2,1,1,1,0.1,1,0,0,0,0,0
2425,Everton,Dwight McNeil,ENG,"MF,FW",24-359,1999,9.9,44,4.46,22,15,4,1,1,1,6,0.61,3,1,1,0,0,1
2425,Everton,Harrison Armstrong,ENG,MF,17-301,2007,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Everton,Idrissa Gana Gueye,SEN,MF,35-050,1989,8.2,15,1.84,12,0,0,1,1,1,0,0.0,0,0,0,0,0,0
2425,Everton,Iliman Ndiaye,SEN,FW,24-254,2000,9.0,24,2.68,20,0,1,0,3,0,3,0.34,3,0,0,0,0,0
2425,Everton,Jack Harrison,ENG,FW,27-361,1996,7.0,16,2.3,13,0,0,1,2,0,2,0.29,1,0,0,0,1,0
2425,Everton,Jake O'Brien,IRL,DF,23-184,2001,0.3,1,3.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Everton,James Garner,ENG,"DF,MF",23-247,2001,2.8,5,1.78,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Everton,James Tarkowski,ENG,DF,31-362,1992,11.0,12,1.09,8,1,0,3,0,0,0,0.0,0,0,0,0,0,0
2425,Everton,Jarrad Branthwaite,ENG,DF,22-141,2002,2.1,2,0.96,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Everton,Jesper Lindstrøm,DEN,FW,24-260,2000,3.9,18,4.64,9,5,1,2,1,0,0,0.0,0,0,0,0,0,0
2425,Everton,Jordan Pickford,ENG,GK,30-253,1994,11.0,2,0.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Everton,Mason Holgate,ENG,"FW,DF",28-024,1996,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
