season,team,player,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
2425,Chelsea,Christopher Nkunku,FRA,FW,27-001,1997,1.8,66,71,93.0,821,195,40,42,95.2,19,20,95.0,1,1,100.0,0,0.3,0.2,-0.3,4,3,2,0,7
2425,Chelsea,Cole Palmer,ENG,"MF,FW",22-193,2002,10.6,318,433,73.4,6170,1847,130,159,81.8,124,148,83.8,55,101,54.5,5,4.8,2.4,0.2,29,48,19,4,63
2425,Chelsea,Enzo Fernández,ARG,MF,23-303,2001,6.8,308,385,80.0,5520,1525,138,153,90.2,129,157,82.2,34,53,64.2,1,1.2,0.8,-0.2,12,38,6,1,35
2425,Chelsea,Jadon Sancho,ENG,FW,24-235,2000,3.4,107,132,81.1,1463,319,67,77,87.0,34,40,85.0,2,5,40.0,3,1.1,0.9,1.9,8,2,9,0,17
2425,Chelsea,João Félix,POR,"MF,FW",25-005,1999,1.4,59,72,81.9,854,228,36,41,87.8,18,21,85.7,3,5,60.0,0,0.0,0.1,0.0,1,12,3,0,8
2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-070,1998,0.5,29,37,78.4,417,50,19,23,82.6,9,11,81.8,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2
2425,Chelsea,Levi Colwill,ENG,DF,21-263,2003,11.0,688,772,89.1,12829,5335,239,255,93.7,395,417,94.7,49,77,63.6,0,0.6,0.8,-0.6,3,43,1,0,40
2425,Chelsea,Malo Gusto,FRA,DF,21-180,2003,8.1,375,446,84.1,6244,1515,186,197,94.4,155,185,83.8,27,40,67.5,0,0.2,0.4,-0.2,5,31,6,1,40
2425,Chelsea,Marc Cucurella,ESP,DF,26-116,1998,8.2,392,441,88.9,6103,1716,198,213,93.0,169,188,89.9,15,26,57.7,0,0.2,0.7,-0.2,2,32,1,0,23
2425,Chelsea,Marc Guiu,ESP,FW,18-316,2006,0.3,3,4,75.0,32,0,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
2425,Chelsea,Moisés Caicedo,ECU,MF,23-013,2001,10.8,519,591,87.8,8729,2469,238,259,91.9,225,249,90.4,40,54,74.1,2,1.6,1.2,0.4,9,61,12,2,54
2425,Chelsea,Mykhailo Mudryk,UKR,FW,23-315,2001,1.7,28,42,66.7,431,165,17,24,70.8,10,15,66.7,1,2,50.0,0,1.0,0.5,-1.0,2,2,2,1,5
2425,Chelsea,Nicolas Jackson,SEN,FW,23-148,2001,9.6,116,157,73.9,1563,363,65,85,76.5,39,50,78.0,3,6,50.0,3,1.4,0.4,1.6,12,10,2,0,15
2425,Chelsea,Noni Madueke,ENG,FW,22-250,2002,8.4,180,229,78.6,2620,654,112,129,86.8,51,65,78.5,8,11,72.7,0,1.6,1.2,-1.6,10,4,13,3,27
2425,Chelsea,Pedro Neto,POR,FW,24-251,2000,6.2,182,225,80.9,2716,542,93,99,93.9,69,83,83.1,10,20,50.0,2,2.2,1.5,-0.2,14,3,10,8,9
2425,Chelsea,Reece James,ENG,DF,24-343,1999,2.7,183,221,82.8,3278,1081,86,91,94.5,79,91,86.8,15,35,42.9,0,0.0,0.2,0.0,0,17,1,0,8
